hebrew,english
גן השומרון,Gan HaShomron
גן חיים,Gan Hayim
גן יאשיה,Gan Yoshiya
גן יבנה,Gan Yavne
גן נר,Gan Ner
גן שורק,Gan Sorek
גן שלמה,Gan Shlomo
גן שמואל,Gan Shmuel
גנות,Ganot
גנות הדר,Ganot HaDar
גני הדר,Ganei HaDar
גני חוגה,Ganei Huga
גני טל,Ganei Tal
גני יוחנן,Ganei Yohanan
גני עם,Ganei Am
גני תקווה,Ganei Tikva
גניגר,Ginigar
געש,Ga'ash
געתון,Ga'aton
גפן,Gefen
גרופית,Grofit
גשור,Geshur
גשר,Gesher
גשר הזיו,Gesher HaZiv
גת,Gat
גת רימון,Gat Rimon
דבוריה,Daburiyya
דביר,Dvir
דברת,Daverat
דגניה א,Deganya A
דגניה ב,Deganya B
דוב''ב,Dov'ev
דוגה,Doga
דוגית,Dugit
דולב,Dolev
דור,Dor
דורות,Dorot
דורות עילית,Dorot Illit
דחי,Dahi
דימונה,Dimona
דיר אל-אסד,Deir al-Asad
דיר חנא,Deir Hanna
דישון,Dishon
דליה,Dalia
דלית אל כרמל,Daliyat al-Carmel
דלתון,Dalton
דמיידה,Dmaideh
דניאל,Daniel
דפנה,Dafna
דקל,Dekel
דריג'את,Darijat
האון,HaOn
הבונים,HaBoniim
הגבעה הצהובה,HaGiv'a HaTzehuva
הגושרים,HaGosherim
הדר עם,Hadar Am
הוד השרון,Hod HaSharon
הודיה,Hodiya
הודיות,Hodiyot
הושעיה,Hoshaya
הזורעים,HaZor'im
החווה של אורי כהן,Uri Cohen's Farm
החווה של זוהר,Zohar's Farm
החווה של יאיא,Yaya's Farm
החווה של מנחם,Menahem's Farm
החווה של עשהאל,Asahel's Farm
החותרים,HaHotrim
היוגב,HaYogev
היישוב היהודי חברון,Jewish Community of Hebron
הילה,Hila
המכללה האקדמית כנרת,Kinneret Academic College
המעפיל,HaMa'apil
המרכז האקדמי רופין,Ruppin Academic Center
הסוללים,HaSolelim
העוגן,HaOgen
הר אדר,Har Adar
הר ברכה,Har Bracha
הר גילה,Har Gilo
הר הנגב,Har HaNegev
הר חלוץ,Har Haluz
הר עמשא,Har Amasha
הר-חלוץ,Har Haluz
הראל,HaRel
הרדוף,Harduf
הרצליה - מערב,Herzliya - West
הרצליה - מרכז וגליל ים,Herzliya - Center and Galil Yam
הרצליה - פיתוח,Herzliya - Pituah
הררית יחד,Hararit Yahad
ואדי אל חמאם,Wadi al-Hamam
ואדי אל נעם,Wadi al-Na'am
ואדי אל נעם דרום,Wadi al-Na'am South
ורד יריחו,Vered Yeriho
ורדון,Vardon
זבדיאל,Zavdi'el
זוהר,Zohar
זיקים,Zikim
זיתן,Zaitan
זכרון יעקב,Zichron Ya'akov
זכריה,Zekharyа
זמר,Zemar
זמרת,Zamrat
זמרת ושובה,Zamrat and Shuva
זנוח,Zanoah
זרועה,Zero'a
זרזיר,Zarzir
זרחיה,Zarkiya
זרעית,Zar'it
ח'וואלד,Khawaled
חבצלת השרון וצוקי ים,Habatzelet HaSharon and Tzuki Yam
חברון,Hebron
חג'אג'רה,Hujayrat
חגור,Hagor
חגלה,Hagla
חד נס,Had Nes
חדיד,Hadid
חדרה - מזרח,Hadera - East
חדרה - מערב,Hadera - West
חדרה - מרכז,Hadera - Center
חדרה - נווה חיים,Hadera - Neve Hayim
חוואלד,Khawaled
חוות אביה,Avia Farm
חוות אביחי,Avihai Farm
חוות אירוח גורן,Goren Guest Farm
חוות אל נווה,Al Nave Farm
חוות אלחי,Elhai Farm
חוות ארץ האיילים,Land of Deer Farm
חוות אשכולות,Eshkolot Farm
חוות בניהו,Benayahu Farm
חוות גלעד,Gil'ad Farm
חוות גנות,Ganot Farm
חוות דרומא,Droma Farm
חוות הרועה העברי,Hebrew Shepherd Farm
חוות הרשאש,Harshash Farm
חוות חנינא,Hanina Farm
חוות טואמין,Tu'amin Farm
חוות טליה,Talya Farm
חוות יאיר,Ya'ir Farm
חוות יד השומר,Yad HaShomer Farm
חוות יויו,Yoyo Farm
חוות יזרעם,Yizre'am Farm
חוות ינון,Yinon Farm
חוות מגדלים,Migdalim Farm
חוות מגנזי,Magnezi Farm
חוות מדבר חבר,Midbar Hever Farm
חוות מור ואברהם,Mor and Avraham Farm
חוות מלאכי אברהם,Malakhi Avraham Farm
חוות מלכיאל,Malkiel Farm
חוות מנחם,Menahem Farm
חוות מעלה אהוביה,Ma'ale Ahuviya Farm
חוות מקנה יהודה,Mikne Yehuda Farm
חוות מרום שמואל,Marom Shmuel Farm
חוות נווה צוף,Neve Tzuf Farm
"חוות נוף אב""י","Nof Avi Farm"
חוות נחל שילה,Nahal Shilo Farm
חוות נחלת אבות,Nahalat Avot Farm
חוות נחלת צבי,Nahalat Tzvi Farm
חוות עדן,Eden Farm
חוות עולם חסד,Olam Hesed Farm
חוות עמיאל,Amiel Farm
חוות ערנדל,Arendel Farm
חוות פריאל,Priel Farm
חוות צאן קדר,Kedar Flock Farm
חוות צרידה,Tzerida Farm
חוות קשואלה,Kishu'ala Farm
חוות ראש תאנה,Rosh Te'ena Farm
חוות שדה,Sade Farm
חוות שדה בר,Sade Bar Farm
חוות שוביאל,Shuviel Farm
חוות שחרית,Shaharit Farm
חוות שיקמים,Shikmaim Farm
חוות תלם צפון,Telem North Farm
חולדה,Hulda
חולון,Holon
חולית,Hulit
חולתה,Hulata
חומש,Homesh
חוסן,Hosen
חוסנייה,Husaniyya
חוף אכזיב,Achziv Beach
חוף אמנון,Amnon Beach
חוף בצת,Batzet Beach
חוף גולן,Golan Beach
חוף גופרה,Gofra Beach
חוף זיקים,Zikim Beach
חוף כורסי,Kursi Beach
חוף כינר,Kinnar Beach
חוף ניצנים,Nitzanim Beach
חוף סוסיתא,Susita Beach
חוף קליה,Qalya Beach
חופית,Hofit
חוקוק,Huqoq
חורה,Hura
חורפיש,Hurfeish
חורשים,Horsheim
חזון,Hazon
חי-בר יטבתה,Hai-Bar Yotvata
חיבת ציון,Hibbat Zion
חיננית,Hinanit
חיפה - בת גלים ק.אליעזר,Haifa - Bat Galim and Kiryat Eliezer
"חיפה - כרמל, הדר ועיר תחתית","Haifa - Carmel, Hadar and Lower City"
חיפה - מערב,Haifa - West
חיפה - מפרץ,Haifa - Bay
חיפה - נווה שאנן ורמות כרמל,Haifa - Neve Sha'anan and Ramot Carmel
חיפה - קריית חיים ושמואל,Haifa - Kiryat Hayim and Shmuel
חיפה-מפרץ,Haifa - Bay
חירן,Hiran
חלוקים,Hlokim
חלמיש,Hallamish
חלץ,Halatz
חמד,Hemed
חמדיה,Hamadiya
חמדת,Hamdat
חמדת ימים,Hamdat Yamim
חמרה,Hamra
חמת גדר,Hamat Gader
חניאל,Haniel
חניון הנתיב מהיר,Fast Lane Parking
חניון רעים אנדרטת הנובה,Re'im Nova Memorial Parking
חניתה,Hanita
חנתון,Hannaton
חספין,Haspin
חפץ חיים,Hafetz Hayim
חצב,Hatzav
חצבה,Hatzeva
חצור,Hatzor
חצור אשדוד,Hatzor Ashdod
חצור הגלילית,Hazor HaGlilit
חצרים,Hatzarim
חרב לאת,Harev La'et
חרוצים,Harutzim
חרות,Herut
חריש,Harish
חרמש,Hermesh
חרמש דרום,Hermesh South
חרשה,Harsha
חרשים,Harashim
חשמונאים,Hashmonaim
טבחה,Tabgha
טבריה,Tiberias
טובא זנגריה,Tuba-Zangariyye
טורעאן,Tur'an
טייבה,Tayibe
טייבה בגלבוע,Tayibe in Gilboa
טירה,Tire
טירת יהודה,Tirat Yehuda
טירת כרמל,Tirat Carmel
טירת צבי,Tirat Tzvi
טל - אל,Tal-El
טל מנשה,Tal Menashe
טל שחר,Tal Shahar
טל-אל,Tal-El
טללים,Telalim
טלמון,Talmon
טמרה,Tamra
טמרה בגלבוע,Tamra in Gilboa
טנא עומרים,Tena Omerim
טפחות,Tafaḥot
יבוא דודי,Yavo Dudi
יבול,Yevul
יבנאל,Yavne'el
יבנה,Yavne
יגור,Yagur
יגל,Yagel
יד בנימין,Yad Binyamin
יד השמונה,Yad HaShmonah
יד חנה,Yad Hanna
יד מרדכי,Yad Mordekhay
יד נתן,Yad Natan
יד רמב''ם,Yad Rambam
יהוד מונוסון,Yehud Monosson
יהוד-מונוסון,Yehud-Monosson
יהל,Yahel
יובלים,Yovelim
יודפת,Yodfat
יונתן,Yonatan
יושיביה,Yoshivya
יזרעאל,Yizre'el
יחיעם,Yehi'am
יטבתה,Yotvata
ייט''ב,Yitav
יכיני,Yakhini
ימין אורד,Yamin Orde
ינוב,Yanuv
ינוח ג'ת,Yanuh-Jat
ינוח-ג'ת,Yanuh-Jat
ינון,Yinon
יסוד המעלה,Yesod HaMa'ala
יסודות,Yesodot
יסעור,Yis'ur
יעבץ,Ya'betz
יעד,Ya'ad
יעף,Ya'af
יערה,Ya'ara
יערות הכרמל,Carmel Forest
יפיע,Yafi'a
יפית,Yafit
יפעת,Yif'at
יפתח,Yiftah
יצהר,Yitzhar
יציץ,Yatzitz
יקום,Yakum
יקיר,Yakir
יקנעם המושבה והזורע,Yokneam Moshava and HaZore'a
יקנעם עילית,Yokneam Illit
יראון,Yir'on
ירדנה,Yardena
ירוחם,Yeruham
ירושלים - אזור תעשייה עטרות,Jerusalem - Atarot Industrial Zone
ירושלים - דרום,Jerusalem - South
ירושלים - כפר עקב,Jerusalem - Kfar Aqab
ירושלים - מזרח,Jerusalem - East
ירושלים - מערב,Jerusalem - West
ירושלים - מרכז,Jerusalem - Center
ירושלים - צפון,Jerusalem - North
ירושלים - צפון ואלונים,Jerusalem - North and Aloneem
ירחיב,Yarhiv
ירכא,Yirka
ירקונה,Yarqona
ישובי אומן,Uman Settlements
ישובי יעל,Ya'el Settlements
ישע,Yesha
ישעי,Yish'i
ישרש,Yishrash
יתד,Yated
כאבול,Kabul
כאוכב אבו אלהיג'א,Kawkab Abu al-Hija
כברי,Kabri
כדורי,Kadoorie
כוחלה מכחול,Kuhla Makhul
כוכב השחר,Kokhav HaShahar
כוכב יאיר - צור יגאל,Kokhav Yair - Tzur Yigal
כוכב יעקב,Kokhav Ya'akov
כוכב מיכאל,Kokhav Mikha'el
כורזים ורד הגליל,Korazim Vered HaGalil
כושי רמון,Kushe Ramon
כחל,Kahal
כינרת מושבה,Kinneret Moshava
כינרת קבוצה,Kinneret Kibbutz
כיסופים,Kisufim
כיסרא סמיע,Kisra-Sumei
כישור,Kishor
כלא דמון,Damon Prison
כליל,Kalil
כלנית,Kalanit
כמהין,Kmahin
כמון,Kammon
כמון - כמאנה מזרחית,Kammon - Kama'ana East
כנות,Kanot
כנף,Kanaf
כסייפה,Kasayfa
כסייפה והפזורה,Kasayfa and Dispersion
כסלון,Kesalon
כסרא סמיע,Kisra-Sumei
כעביה,Ka'abiyye
כעביה טבאש,Ka'abiyye Tabbash
כפר אביב,Kfar Aviv
כפר אדומים,Kfar Adumim
כפר אוריה,Kfar Uria
כפר אחים,Kfar Ahim
כפר אלדד,Kfar Eldad
כפר ביאליק,Kfar Bialik
כפר ביל''ו,Kfar Bilu
כפר בלום,Kfar Blum
כפר בן נון,Kfar Bin Nun
כפר ברא,Kafr Bara
כפר ברוך,Kfar Barukh
כפר גדעון,Kfar Gid'on
כפר גלים,Kfar Galim
כפר גליקסון,Kfar Glikson
כפר גלעדי,Kfar Gil'adi
כפר גמילה מלכישוע,Kfar Gmila Malkhishu'a
כפר דניאל,Kfar Daniel
כפר האורנים,Kfar HaOranim
כפר החורש,Kfar HaHoresh
כפר המכבי,Kfar HaMaccabi
כפר הנגיד,Kfar HaNagid
כפר הנוער ימין אורד,Yamin Orde Youth Village
כפר הנוער קריית יערים,Kiryat Yearim Youth Village
כפר הנוקדים,Kfar HaNoqdim
כפר הנשיא,Kfar HaNassi
כפר הס,Kfar Hes
כפר הרא''ה,Kfar HaRa'ah
כפר הרי''ף וצומת ראם,Kfar HaRif and Ram Junction
כפר ויתקין,Kfar Vitkin
כפר ורבורג,Kfar Warburg
כפר ורדים,Kfar Vradim
כפר זוהרים,Kfar Zoharim
כפר זיתים,Kfar Zeitim
כפר ח'וואלד,Kfar Khawaled
כפר חב''ד,Kfar Chabad
כפר חיטים,Kfar Hittim
כפר חיים,Kfar Hayim
כפר חנניה,Kfar Hananya
כפר חסידים,Kfar Hasidim
כפר חרוב,Kfar Haruv
כפר טבאש,Kfar Tabbash
כפר טרומן,Kfar Truman
כפר יאסיף,Kafr Yasif
כפר ידידיה,Kfar Yedidya
כפר יהושע,Kfar Yehoshua
כפר יובל,Kfar Yuval
כפר יונה,Kfar Yona
כפר יחזקאל,Kfar Yehezkel
כפר יסיף,Kafr Yasif
כפר יעבץ,Kfar Ya'betz
כפר כמא,Kfar Kama
כפר כנא,Kafr Kana
כפר מונש,Kfar Monash
כפר מימון ותושיה,Kfar Maimon and Tushiyya
כפר מל''ל,Kfar Malal
כפר מנדא,Kafr Manda
כפר מנחם,Kfar Menahem
כפר מסריק,Kfar Masaryk
כפר מצר,Kfar Mitzar
כפר מרדכי,Kfar Mordekhai
כפר נהר הירדן,Kfar Nahar HaYarden
כפר נוער בן שמן,Ben Shemen Youth Village
כפר נחום,Capernaum
כפר נטר,Kfar Netter
כפר סאלד,Kfar Szold
כפר סבא,Kfar Sava
כפר סילבר,Kfar Silver
כפר סירקין,Kfar Sirkin
כפר עבודה,Kfar Avoda
כפר עזה,Kfar Aza
כפר עציון,Kfar Etzion
כפר פינס,Kfar Pines
